before,after,ratio_bf,ratio_real
10,7,0.3,0.09589041
6,6,0.0,0.23076923
10,7,0.3,0.18681319
10,8,0.2,0.25454545
10,7,0.3,0.16129032
8,6,0.25,0.18918919
7,6,0.14285714285714285,0.21698113
6,6,0.0,0.04496403
6,6,0.0,0.21875
7,7,0.0,0.35135135
10,7,0.3,0.06425703
7,6,0.14285714285714285,0.08541667
10,7,0.3,0.10447761
10,8,0.2,0.42857143
10,7,0.3,0.08823529
10,7,0.3,0.13043478
6,6,0.0,0.4516129
10,7,0.3,0.12903226
10,7,0.3,0.2173913
10,8,0.2,0.31428571
10,7,0.3,0.29166667
10,8,0.2,0.08881579
10,7,0.3,0.04994797
7,7,0.0,0.08924949
7,6,0.14285714285714285,0.08137045
9,7,0.2222222222222222,0.1595092
6,6,0.0,0.40425532
8,7,0.125,0.27272727
10,7,0.3,0.0721393
10,7,0.3,0.1130137
6,6,0.0,0.47619048
6,6,0.0,0.27906977
10,7,0.3,0.21126761
10,7,0.3,0.09830508
6,6,0.0,0.25
10,8,0.2,0.38095238
10,8,0.2,0.33333333
10,7,0.3,0.10724638
10,7,0.3,0.19277108
10,7,0.3,0.18218623
10,7,0.3,0.056
10,8,0.2,0.69230769
10,7,0.3,0.19411765
7,6,0.14285714285714285,0.12903226
6,6,0.0,0.11463415
10,7,0.3,0.19277108
6,6,0.0,0.375
10,7,0.3,0.19047619
10,7,0.3,0.12429379
10,7,0.3,0.19047619
10,7,0.3,0.09803922
7,7,0.0,0.1744186
10,8,0.2,0.29268293
